Year,Month,SKU,Category,Units,Gross Sales
2018,12,4174702,Baby,44,219.56
2019,1,4174702,Baby,46,229.54
2019,2,4174702,Baby,45,224.55
2019,3,4174702,Baby,45,224.55
2019,4,4174702,Baby,47,234.53
2019,5,4174702,Baby,48,239.52
2018,12,5047917,Baby,237,4737.63
2019,1,5047917,Baby,249,4977.51
2019,2,5047917,Baby,261,5217.39
2019,3,5047917,Baby,258,5157.42
2019,4,5047917,Baby,255,5097.45
2019,5,5047917,Baby,265,5297.35
2018,12,5018472,Baby,940,2810.6
2019,1,5018472,Baby,912,2726.88
2019,2,5018472,Baby,948,2834.52
2019,3,5018472,Baby,976,2918.24
2019,4,5018472,Baby,956,2858.44
2019,5,5018472,Baby,956,2858.44
2018,12,5083511,Baby,37,73.63
2019,1,5083511,Baby,36,71.64
2019,2,5083511,Baby,36,71.64
2019,3,5083511,Baby,36,71.64
2019,4,5083511,Baby,36,71.64
2019,5,5083511,Baby,39,77.61
2018,12,9851018,Baby,386,4226.7
2019,1,9851018,Baby,405,4434.75
2019,2,9851018,Baby,405,4434.75
2019,3,9851018,Baby,425,4653.75
2019,4,9851018,Baby,412,4511.4
2019,5,9851018,Baby,428,4686.6
2018,12,1144871,Baby,649,6327.75
2019,1,1144871,Baby,630,6142.5
2019,2,1144871,Baby,636,6201
2019,3,1144871,Baby,642,6259.5
2019,4,1144871,Baby,668,6513
2019,5,1144871,Baby,701,6834.75
2018,12,5085330,Baby,704,7032.96
2019,1,5085330,Baby,711,7102.89
2019,2,5085330,Baby,747,7462.53
2019,3,5085330,Baby,784,7832.16
2019,4,5085330,Baby,800,7992
2019,5,5085330,Baby,856,8551.44
2018,12,5142314,Baby,748,3702.6
2019,1,5142314,Baby,778,3851.1
2019,2,5142314,Baby,786,3890.7
2019,3,5142314,Baby,762,3771.9
2019,4,5142314,Baby,739,3658.05
2019,5,5142314,Baby,732,3623.4
2018,12,1171011,Baby,885,15036.15
2019,1,1171011,Baby,876,14883.24
2019,2,1171011,Baby,858,14577.42
2019,3,1171011,Baby,849,14424.51
2019,4,1171011,Baby,849,14424.51
2019,5,1171011,Baby,857,14560.43
2018,12,5195877,Baby,393,3831.75
2019,1,5195877,Baby,409,3987.75
2019,2,5195877,Baby,397,3870.75
2019,3,5195877,Baby,405,3948.75
2019,4,5195877,Baby,417,4065.75
2019,5,5195877,Baby,438,4270.5
2018,12,9621137,Baby,657,1307.43
2019,1,9621137,Baby,650,1293.5
2019,2,9621137,Baby,631,1255.69
2019,3,9621137,Baby,656,1305.44
2019,4,9621137,Baby,689,1371.11
2019,5,9621137,Baby,717,1426.83
2018,12,5204618,Baby,188,2434.6
2019,1,5204618,Baby,190,2460.5
2019,2,5204618,Baby,198,2564.1
2019,3,5204618,Baby,206,2667.7
2019,4,5204618,Baby,212,2745.4
2019,5,5204618,Baby,212,2745.4
2018,12,9541383,Baby,772,8453.4
2019,1,9541383,Baby,795,8705.25
2019,2,9541383,Baby,835,9143.25
2019,3,9541383,Baby,835,9143.25
2019,4,9541383,Baby,843,9230.85
2019,5,9541383,Baby,801,8770.95
2018,12,9536900,Baby,958,8622
2019,1,9536900,Baby,939,8451
2019,2,9536900,Baby,911,8199
2019,3,9536900,Baby,938,8442
2019,4,9536900,Baby,966,8694
2019,5,9536900,Baby,1024,9216
2018,12,4810153,Baby,128,1534.72
2019,1,4810153,Baby,125,1498.75
2019,2,4810153,Baby,130,1558.7
2019,3,4810153,Baby,129,1546.71
2019,4,4810153,Baby,133,1594.67
2019,5,4810153,Baby,136,1630.64
2018,12,4789209,Baby,902,8974.9
2019,1,4789209,Baby,911,9064.45
2019,2,4789209,Baby,893,8885.35
2019,3,4789209,Baby,902,8974.9
2019,4,4789209,Baby,875,8706.25
2019,5,4789209,Baby,910,9054.5
2018,12,1405230,Baby,304,4180
2019,1,1405230,Baby,295,4056.25
2019,2,1405230,Baby,298,4097.5
2019,3,1405230,Baby,292,4015
2019,4,1405230,Baby,295,4056.25
2019,5,1405230,Baby,316,4345
2018,12,5261606,Baby,224,3528
2019,1,5261606,Baby,224,3528
2019,2,5261606,Baby,231,3638.25
2019,3,5261606,Baby,224,3528
2019,4,5261606,Baby,228,3591
2019,5,5261606,Baby,242,3811.5
2018,12,9381364,Baby,790,7892.1
2019,1,9381364,Baby,774,7732.26
2019,2,9381364,Baby,774,7732.26
2019,3,9381364,Baby,789,7882.11
2019,4,9381364,Baby,781,7802.19
2019,5,9381364,Baby,742,7412.58
2018,12,1495122,Baby,508,2006.6
2019,1,1495122,Baby,508,2006.6
2019,2,1495122,Baby,518,2046.1
2019,3,1495122,Baby,539,2129.05
2019,4,1495122,Baby,550,2172.5
2019,5,1495122,Baby,567,2239.65
2018,12,5496631,Baby,127,1136.65
2019,1,5496631,Baby,127,1136.65
2019,2,5496631,Baby,124,1109.8
2019,3,5496631,Baby,128,1145.6
2019,4,5496631,Baby,124,1109.8
2019,5,5496631,Baby,123,1100.85
2018,12,5508919,Baby,670,9380
2019,1,5508919,Baby,704,9856
2019,2,5508919,Baby,732,10248
2019,3,5508919,Baby,710,9940
2019,4,5508919,Baby,696,9744
2019,5,5508919,Baby,696,9744
2018,12,1597890,Baby,168,1006.32
2019,1,1597890,Baby,166,994.34
2019,2,1597890,Baby,166,994.34
2019,3,1597890,Baby,169,1012.31
2019,4,1597890,Baby,174,1042.26
2019,5,1597890,Baby,183,1096.17
2018,12,9266722,Baby,359,6099.41
2019,1,9266722,Baby,355,6031.45
2019,2,9266722,Baby,344,5844.56
2019,3,9266722,Baby,354,6014.46
2019,4,9266722,Baby,365,6201.35
2019,5,9266722,Baby,380,6456.2
2018,12,9161184,Baby,799,15972.01
2019,1,9161184,Baby,807,16131.93
2019,2,9161184,Baby,783,15652.17
2019,3,9161184,Baby,814,16271.86
2019,4,9161184,Baby,855,17091.45
2019,5,9161184,Baby,881,17611.19
2018,12,9145769,Baby,971,6748.45
2019,1,9145769,Baby,1020,7089
2019,2,9145769,Baby,1040,7228
2019,3,9145769,Baby,1092,7589.4
2019,4,9145769,Baby,1092,7589.4
2019,5,9145769,Baby,1114,7742.3
2018,12,5541387,Baby,500,9495
2019,1,5541387,Baby,485,9210.15
2019,2,5541387,Baby,500,9495
2019,3,5541387,Baby,520,9874.8
2019,4,5541387,Baby,525,9969.75
2019,5,5541387,Baby,520,9874.8
2018,12,5546702,Baby,1008,13093.92
2019,1,5546702,Baby,1048,13613.52
2019,2,5546702,Baby,1038,13483.62
2019,3,5546702,Baby,1017,13210.83
2019,4,5546702,Baby,986,12808.14
2019,5,5546702,Baby,996,12938.04
2018,12,9043461,Baby,224,2632
2019,1,9043461,Baby,228,2679
2019,2,9043461,Baby,221,2596.75
2019,3,9043461,Baby,225,2643.75
2019,4,9043461,Baby,236,2773
2019,5,9043461,Baby,243,2855.25
2018,12,9016855,Baby,538,1070.62
2019,1,9016855,Baby,549,1092.51
2019,2,9016855,Baby,554,1102.46
2019,3,9016855,Baby,537,1068.63
2019,4,9016855,Baby,532,1058.68
2019,5,9016855,Baby,537,1068.63
2018,12,8984681,Baby,180,2871
2019,1,8984681,Baby,189,3014.55
2019,2,8984681,Baby,193,3078.35
2019,3,8984681,Baby,191,3046.45
2019,4,8984681,Baby,185,2950.75
2019,5,8984681,Baby,183,2918.85
2018,12,8957871,Baby,128,2169.6
2019,1,8957871,Baby,129,2186.55
2019,2,8957871,Baby,126,2135.7
2019,3,8957871,Baby,122,2067.9
2019,4,8957871,Baby,124,2101.8
2019,5,8957871,Baby,118,2000.1
2018,12,5557352,Baby,924,18018
2019,1,5557352,Baby,924,18018
2019,2,5557352,Baby,906,17667
2019,3,5557352,Baby,933,18193.5
2019,4,5557352,Baby,952,18564
2019,5,5557352,Baby,962,18759
2018,12,8956494,Baby,736,12512
2019,1,8956494,Baby,773,13141
2019,2,8956494,Baby,804,13668
2019,3,8956494,Baby,836,14212
2019,4,8956494,Baby,836,14212
2019,5,8956494,Baby,803,13651
2018,12,4403142,Baby,679,3388.21
2019,1,4403142,Baby,713,3557.87
2019,2,4403142,Baby,727,3627.73
2019,3,4403142,Baby,749,3737.51
2019,4,4403142,Baby,764,3812.36
2019,5,4403142,Baby,741,3697.59
2018,12,8854449,Baby,84,1423.8
2019,1,8854449,Baby,84,1423.8
2019,2,8854449,Baby,82,1389.9
2019,3,8854449,Baby,84,1423.8
2019,4,8854449,Baby,82,1389.9
2019,5,8854449,Baby,89,1508.55
2018,12,4381045,Baby,771,7671.45
2019,1,4381045,Baby,794,7900.3
2019,2,4381045,Baby,794,7900.3
2019,3,4381045,Baby,786,7820.7
2019,4,4381045,Baby,778,7741.1
2019,5,4381045,Baby,755,7512.25
2018,12,2003567,Baby,52,883.48
2019,1,2003567,Baby,55,934.45
2019,2,2003567,Baby,57,968.43
2019,3,2003567,Baby,56,951.44
2019,4,2003567,Baby,56,951.44
2019,5,2003567,Baby,59,1002.41
2018,12,8724001,Baby,999,3946.05
2019,1,8724001,Baby,1039,4104.05
2019,2,8724001,Baby,1070,4226.5
2019,3,8724001,Baby,1070,4226.5
2019,4,8724001,Baby,1081,4269.95
2019,5,8724001,Baby,1189,4696.55
2018,12,8700059,Baby,441,3064.95
2019,1,8700059,Baby,441,3064.95
2019,2,8700059,Baby,450,3127.5
2019,3,8700059,Baby,441,3064.95
2019,4,8700059,Baby,445,3092.75
2019,5,8700059,Baby,449,3120.55
2018,12,4348156,Baby,126,2392.74
2019,1,4348156,Baby,122,2316.78
2019,2,4348156,Baby,121,2297.79
2019,3,4348156,Baby,119,2259.81
2019,4,4348156,Baby,115,2183.85
2019,5,4348156,Baby,123,2335.77
2018,12,2109732,Baby,872,12199.28
2019,1,2109732,Baby,907,12688.93
2019,2,2109732,Baby,916,12814.84
2019,3,2109732,Baby,889,12437.11
2019,4,2109732,Baby,898,12563.02
2019,5,2109732,Baby,943,13192.57
2018,12,5637472,Baby,17,118.83
2019,1,5637472,Baby,16,111.84
2019,2,5637472,Baby,16,111.84
2019,3,5637472,Baby,16,111.84
2019,4,5637472,Baby,17,118.83
2019,5,5637472,Baby,17,118.83
2018,12,8621309,Baby,30,299.7
2019,1,8621309,Baby,32,319.68
2019,2,8621309,Baby,33,329.67
2019,3,8621309,Baby,32,319.68
2019,4,8621309,Baby,31,309.69
2019,5,8621309,Baby,30,299.7
2018,12,2127135,Baby,764,13752
2019,1,2127135,Baby,764,13752
2019,2,2127135,Baby,787,14166
2019,3,2127135,Baby,811,14598
2019,4,2127135,Baby,827,14886
2019,5,2127135,Baby,893,16074
2018,12,4301178,Baby,343,2397.57
2019,1,4301178,Baby,333,2327.67
2019,2,4301178,Baby,340,2376.6
2019,3,4301178,Baby,330,2306.7
2019,4,4301178,Baby,337,2355.63
2019,5,4301178,Baby,357,2495.43
2018,12,8558527,Baby,627,1849.65
2019,1,8558527,Baby,640,1888
2019,2,8558527,Baby,672,1982.4
2019,3,8558527,Baby,692,2041.4
2019,4,8558527,Baby,706,2082.7
2019,5,8558527,Baby,748,2206.6
2018,12,5960736,Baby,422,3793.78
2019,1,5960736,Baby,430,3865.7
2019,2,5960736,Baby,452,4063.48
2019,3,5960736,Baby,452,4063.48
2019,4,5960736,Baby,470,4225.3
